action,timestamp
paying Madalina their salary,Tue Jun 03 04:43:14 EEST 2025
Checking if table shelter exists,Tue Jun 03 04:43:17 EEST 2025
SELECT * FROM shelter,Tue Jun 03 04:43:17 EEST 2025
it does,Tue Jun 03 04:43:17 EEST 2025
Checking if table staff exists,Tue Jun 03 04:43:17 EEST 2025
SELECT * FROM staff,Tue Jun 03 04:43:17 EEST 2025
it does,Tue Jun 03 04:43:17 EEST 2025
Checking if table food exists,Tue Jun 03 04:43:17 EEST 2025
SELECT * FROM food,Tue Jun 03 04:43:17 EEST 2025
it doesn't,Tue Jun 03 04:43:17 EEST 2025
"SELECT * FROM shelter
WHERE shelter_ID=0
",Tue Jun 03 04:43:17 EEST 2025
"SELECT * FROM shelter
WHERE shelter_ID=1
",Tue Jun 03 04:43:17 EEST 2025
"UPDATE shelter SET
name = ('newShelterName'),
address = ('Bucuresti')

WHERE shelter_ID=0
",Tue Jun 03 04:43:17 EEST 2025
